Keywords,KeywordsCorrected
ACRYLIC FIBER,ACRYLIC
ACRYLIC FIBERS,ACRYLIC
ACRYLIC POLYMERS,ACRYLIC
ACRYLICS,ACRYLIC
BAYES THEOREM,BAYESIAN APPROACH
BAYES' THEOREM,BAYESIAN APPROACH
BAYESIAN,BAYESIAN APPROACH
BAYESIAN APPROACH,BAYESIAN APPROACH
BAYESIAN INTERPRETATION,BAYESIAN APPROACH
INTERPRTATION BAYSIENNE,BAYESIAN APPROACH
CAPILLARY ELECTROPHORESIS,CAPILLARY ELECTROPHORESIS (CE)
CAR SEATS,CAR SEAT
CLOTHES,CLOTHING
CLOTHING-FABRIC,CLOTHING
COLOR,COLOUR
COTTONS,COTTON
COTTON FIBERS,COTTON
COTTON FIBRE,COTTON
COTTON FIBRES,COTTON
CRIMINALISTICS,CRIMINALISTIC
DATABASES,DATABASE
DYES,DYE
DYES (BASIC),DYE
FIBER,FIBRE
FIBRES,FIBRE
FIBRES - FREQUENCY,FIBRE - FREQUENCY
FIBER ANALYSIS,FIBRE ANALYSIS
FIBRES ANALYSIS,FIBRE ANALYSIS
FIBER ANALYSIS TECHNIQUES,FIBRE ANALYSIS TECHNIQUES
FIBRES AND TEXTILES,FIBRE AND TEXTILES
FIBER BLENDS,FIBRE BLENDS
FIBER BUNDLE,FIBRE BUNDLE
FIBER CHEMISTRIES,FIBRE CHEMISTRIES
FIBER COATING,FIBRE COATING
FIBER COLLECTION,FIBRE COLLECTION
FIBER COMPARISON,FIBRE COMPARISON
FIBER DEGRADATION,FIBRE DEGRADATION
FIBER DISTRIBUTION,FIBRE DISTRIBUTION
FIBER DRESSING,FIBRE DRESSING
FIBER DYE IDENTIFICATION,FIBRE DYE IDENTIFICATION
FIBER DYES,FIBRE DYES
FIBER END SURFACES,FIBRE END SURFACES
FIBER EVIDENCE,FIBRE EVIDENCE
FIBRES EVIDENCE,FIBRE EVIDENCE
FIBER EXAMINATION,FIBRE EXAMINATION
FIBRES EXAMINATION,FIBRE EXAMINATION
FIBER FINDER,FIBRE FINDER
FIBER FORENSIC COMPARISON,FIBRE FORENSIC COMPARISON
FIBER FORENSICS,FIBRE FORENSICS
FIBER FRACTURES,FIBRE FRACTURES
FIBER FREQUENCY,FIBRE FREQUENCY
FIBER IDENTIFICATION,FIBRE IDENTIFICATION
FIBRES IN HAIR,FIBRE IN HAIR
FIBER MATERIAL EVIDENCE,FIBRE MATERIAL EVIDENCE
FIBER NETWORK,FIBRE NETWORK
FIBER OPTIC,FIBRE OPTIC
FIBER OPTIC PROBES,FIBRE OPTIC PROBES
FIBER OPTIC SENSORS,FIBRE OPTIC SENSORS
FIBER OPTICS,FIBRE OPTICS
FIBER ORIENTATION,FIBRE ORIENTATION
FIBER PRODUCTION,FIBRE PRODUCTION
FIBER PROPORTIONS,FIBRE PROPORTIONS
FIBER RECOVERY,FIBRE RECOVERY
FIBRES RECOVERY,FIBRE RECOVERY
FIBER REINFORCED CONCRETE,FIBRE REINFORCED CONCRETE
FIBER REINFORCED MATERIALS,FIBRE REINFORCED MATERIALS
FIBER SCALES,FIBRE SCALES
FIBER SOLID-PHASE MICROEXTRACTION,FIBRE SOLID-PHASE MICROEXTRACTION
FIBRES TEXTILES,FIBRE TEXTILES
FIBER TIP PENS,FIBRE TIP PENS
FIBER TRACTOGRAPHY,FIBRE TRACTOGRAPHY
FIBER TRANSFER,FIBRE TRANSFER
FIBER TYPES,FIBRE TYPES
FIBER: ACRYLIC BICOMPONENT,FIBRE: ACRYLIC BICOMPONENT
FIBRES: TRANSFER AND DISPERSAL,FIBRE: TRANSFER AND DISPERSAL
FIBER-END APPEARANCE,FIBRE-END APPEARANCE
FIBER-ENHANCED RAMAN SPECTROSCOPY (FERS),FIBRE-ENHANCED RAMAN SPECTROSCOPY (FERS)
FIBER-MELTING TRACES,FIBRE-MELTING TRACES
FIBEROPTICS,FIBREOPTICS
FIBERS,FIBRE
FIBERS FORENSIC,FIBRE FORENSIC
FIBERS FORENSIC COMPARISON,FIBRE FORENSIC COMPARISON
FIBERSCOPE EXAMINATION,FIBRESCOPE EXAMINATION
FIBER-SOLID PHASE MICROEXTRACTION (HF-SPME),FIBRE-SOLID PHASE MICROEXTRACTION (HF-SPME)
FIBER-TIP PEN INKS,FIBRE-TIP PEN INKS
FORENSIC,FORENSIC SCIENCE
FORENSIC SCIENCES,FORENSIC SCIENCE
FORENSICS,FORENSIC SCIENCE
FOURIER TRANSFORM INFRARED,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FOURIER TRANSFORM INFRARED (FT-IR) MICROSPECTROSCOPY,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FOURIER TRANSFORM INFRARED MICROANALYSIS,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FOURIER TRANSFORM INFRARED SPECTROSCOPY,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FOURIER TRANSFORM INFRARED-MICROSCOPY MICROSPECTROPHOTOMETRY,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FTIR,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FT-IR,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FTIR MICROSCOPY,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FT-IR MICROSCOPY IN FORENSIC LABORATORIES,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FTIR SPECTROSCOPY,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FTIR),FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FTIR-MICROSPECTROSCOPY,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
INFRARED (FT-IR) MICROSPECTROSCOPY,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
INFRARED MICROSPECTROSCOPY FTIR,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
INFRARED MICROSPECTROSCOPY FT-IR,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FREQUENCIES,FREQUENCY
GAS CHROMATOGRAPHY,GAS CHROMATOGRAPHY (GC)
GAS CHROMATOGRAPHY (GC),GAS CHROMATOGRAPHY (GC)
GAS CHROMATOGRAPHY/MASS,GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)
GAS CHROMATOGRAPHY/MASS SPECTROMETRY,GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)
GAS CHROMATOGRAPHY/MS SPECTROMETRY,GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)
GAS CHROMATOGRAPHY-ISOTOPE RATIO MASS SPECTROMETRY,GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)
GAS CHROMATOGRAPHY-MASS SPECTROMETRY,GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)
GC/MS,GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)
GC-MS,GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)
HAIRS,HAIR
HEAD HAIR,HAIR
HPLC,HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)
HOLLOW FIBER LIQUID PHASE MICROEXTRACTION,HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)
HOLLOW FIBER-LIQUID PHASE MICROEXTRACTION,HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)
HOLLOW FIBER-LIQUID PHASE MICROEXTRACTION (HF-LPME),HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)
HOLLOW FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME),HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)
HOLLOW-FIBER LIQUID-PHASE MICROEXTRACTION,HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)
HOLLOW-FIBER LIQUID-PHASE MICROEXTRACTION (HF-LPME),HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)
INFRARED MICROSPECTROMETRY,INFRARED SPECTROSCOPY (IR)
INFRARED MICROSPECTROSCOPY,INFRARED SPECTROSCOPY (IR)
INFRA-RED SPECTROSCOPY,INFRARED SPECTROSCOPY (IR)
IR SPECTROSCOPY,INFRARED SPECTROSCOPY (IR)
IRS,INFRARED SPECTROSCOPY (IR)
LIKELIHOOD RATIO LR,LIKELIHOOD RATIO
MASS SPECTROMETRY,MASS SPECTROMETRY (MS)
MICROSPECTROPHOTOMETER,MICROSPECTROPHOTOMETRY (MSP)
MICROSPECTROPHOTOMETRY,MICROSPECTROPHOTOMETRY (MSP)
MICROSPECTROPHOTOMETRY (MSP),MICROSPECTROPHOTOMETRY (MSP)
MSP,MICROSPECTROPHOTOMETRY (MSP)
UV-VIS MICROSPECTROPHOTOMETRY,MICROSPECTROPHOTOMETRY (MSP)
PAINTS,PAINT
POLARIZED LIGHT,POLARIZED LIGHT MICROSCOPY
POLARIZING LIGHT MICROSCOPE,POLARIZED LIGHT MICROSCOPY
POLYESTER (TERENE),POLYESTER
POLYESTER FIBERS,POLYESTER
POLYESTER FIBRES,POLYESTER
POLYETHYLENE TEREPHTHALATE,POLYETHYLENE
POLYETHYLENE TEREPHTHALATE (PET),POLYETHYLENE
POLYMER VARIATION,POLYMER
POLYMERS,POLYMER
POLYPRO PYLENE,POLYPROPYLENE
POPULATION STUDIES,POPULATION STUDY
PRINCIPAL COMPONENT,PRINCIPAL COMPONENT ANALYSIS (PCA)
PRINCIPAL COMPONENT ANALYSIS,PRINCIPAL COMPONENT ANALYSIS (PCA)
RAMAN MICROSCOPICAL,RAMAN
RAMAN MICROSCOPICAL ANALYSIS,RAMAN
RAMAN MICROSCOPY,RAMAN
RAMAN MICROSPECTROSCOPY,RAMAN
RAMAN SPECTROMETRY,RAMAN
RAMAN SPECTROSCOPY,RAMAN
REACTIVE DYES,REACTIVE DYE
SCANNING ELECTRON,SCANNING ELECTRON MICROSCOPY (SEM)
SCANNING ELECTRON MICROSCOPY,SCANNING ELECTRON MICROSCOPY (SEM)
SCANNING ELECTRON MICROSCOPY (SEM),SCANNING ELECTRON MICROSCOPY (SEM)
SEM ANALYSIS,SCANNING ELECTRON MICROSCOPY (SEM)
SINGLE FIBER,SINGLE FIBRE
SINGLE FIBERS,SINGLE FIBRE
SINGLE FIBRES,SINGLE FIBRE
SOLID PHASE MICROEXTRACTION,SOLID-PHASE MICROEXTRACTION (SPME)
SPME,SOLID-PHASE MICROEXTRACTION (SPME)
UV-VISIBLE SPECTROPHOTOMETRY,SPECTROPHOTOMETRY
UV-VISIBLE SPECTROSCOPY,SPECTROPHOTOMETRY
SYNTHETIC FIBERS,SYNTHETIC FIBRE
TAPINGS,TAPING
TARGET FIBER STUDIES,TARGET FIBRE STUDY
TARGET FIBRE STUDIES,TARGET FIBRE STUDY
TEXTILES,TEXTILE
TEXTILE FIBER,TEXTILE FIBRE
TEXTILE FIBERS,TEXTILE FIBRE
TEXTILE FIBRE,TEXTILE FIBRE
THIN LAYER,THIN-LAYER CHROMATOGRAPHY (TLC)
THIN LAYER CHROMATOGRAPHY,THIN-LAYER CHROMATOGRAPHY (TLC)
THIN-LAYER,THIN-LAYER CHROMATOGRAPHY (TLC)
THIN-LAYER CHROMATOGRAPHY,THIN-LAYER CHROMATOGRAPHY (TLC)
TLC,THIN-LAYER CHROMATOGRAPHY (TLC)
VISCOSE FIBER,VISCOSE
WOOL FIBRES,WOOL
,NA
BLACK COTTON,COTTON
BLUE COTTON,COTTON
GREY COTTON,COTTON
RED COTTON,COTTON
NYLON FIBER,NYLON
NYLONS,NYLON
POLYESTER FIBER,POLYESTER
POLYESTERS,POLYESTER
POLARIZED CONFOCAL RAMAN MICROSPECTROSCOPY,RAMAN
"RAMAN MAPPING TECHNOLOGIES, AND MINIMUM FIBRE DIAMETER",RAMAN
RAMAN MICROSCOPE,RAMAN
"SPECTRUM ANALYSIS, RAMAN",RAMAN
SURFACE ENHANCED RAMAN SPECTROSCOPY,RAMAN
SCANNING ELECTRON MICROSCOPE,SCANNING ELECTRON MICROSCOPY (SEM)
SOLID PHASE MICRO EXTRACTION,SOLID-PHASE MICROEXTRACTION (SPME)
SOLID PHASE MICRO EXTRACTION (SPME),SOLID-PHASE MICROEXTRACTION (SPME)
SOLID PHASE MICROEXTRACTION (SPME),SOLID-PHASE MICROEXTRACTION (SPME)
SOLIDE PHASE MICROEXTRACTION,SOLID-PHASE MICROEXTRACTION (SPME)
SOLID-PHASE MICROEXTRACTION,SOLID-PHASE MICROEXTRACTION (SPME)
SOLID-PHASE MICRO-EXTRACTION,SOLID-PHASE MICROEXTRACTION (SPME)
SYNTHETIC FIBER,SYNTHETIC FIBRE
"CHROMATOGRAPHY, THIN LAYER",THIN-LAYER CHROMATOGRAPHY (TLC)
BLUE WOOL FIBRES,WOOL
"CHROMATOGRAPHY, LIQUID",LIQUID CHROMATOGRAPHY (LC)
LIQUID CHROMATOGRAPHY,LIQUID CHROMATOGRAPHY (LC)
INFRARED MISCROSPECTROMETRY,INFRARED SPECTROSCOPY (IR)
INFRARED SPECTROMETRY,INFRARED SPECTROSCOPY (IR)
INFRARED SPECTROPHOTOMETRY,INFRARED SPECTROSCOPY (IR)
INFRARED SPECTROSCOPY,INFRARED SPECTROSCOPY (IR)
HIGH PERFORMANCE THIN LAYER CHROMATOGRAPHY,HIGH PERFORMANCE THIN-LAYER CHROMATOGRAPHY (HPTLC)
HIGH PERFORMANCE THIN-LAYER CHROMATOGRAPHY (HPTLC),HIGH PERFORMANCE THIN-LAYER CHROMATOGRAPHY (HPTLC)
"CHROMATOGRAPHY, HIGH PRESSURE LIQUID",HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)
HIGH PERFORMANCE LIQUID CHROMATOGRAPHY,HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)
HIGH PERFORMANCE LIQUID CHROMATOGRAPHY DIODE ARRAY DETECTOR,HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)
HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY-DIODE ARRAY DETECTION,HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)
FOURIER TRANSFORM INFRARED MICROSPECTROSCOPY,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FT-IR SPECTROSCOPY,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
"SPECTROSCOPY, FOURIER TRANSFORM INFRARED",FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
"CHROMATOGRAPHY, GAS",GAS CHROMATOGRAPHY (GC)
GC,GAS CHROMATOGRAPHY (GC)
"MICROSCOPY, ELECTRON",ELECTRON MICROSCOPY
"MICROSCOPY, ELECTRON, SCANNING",ELECTRON MICROSCOPY
"MICROSCOPY, ELECTRON, TRANSMISSION",ELECTRON MICROSCOPY
(BLACK) DYES,DYE
TEXTILE DYE,DYE
TEXTILE DYES,DYE
