Keywords,Keywords.corrected
ACRYLICS,ACRYLIC
ACRYLIC ACID,ACRYLIC ACID
ACRYLIC ACID COPOLYMER,ACRYLIC ACID
ACRYLIC ACID DERIVATIVE,ACRYLIC ACID
AMPHETAMINES,AMPHETAMINE
AMPHETAMINE-TYPE DRUGS,AMPHETAMINE
AMPHETAMINE-TYPE STIMULANTS,AMPHETAMINE
ANIMALS,ANIMAL
BAYES' FACTOR,BAYESIAN APPROACH
BAYES NETWORK,BAYESIAN APPROACH
BAYES THEOREM,BAYESIAN APPROACH
BAYES' THEOREM,BAYESIAN APPROACH
BAYESIAN,BAYESIAN APPROACH
BAYESIAN FRAMEWORK,BAYESIAN APPROACH
BAYESIAN INFERENCE,BAYESIAN APPROACH
BAYESIAN INTERPRETATION,BAYESIAN APPROACH
BAYESIAN NETWORKS,BAYESIAN APPROACH
INTERPRÉTATION BAYÉSIENNE,BAYESIAN APPROACH
INTERPRETATION OF EXPERT EVIDENCE,
INTERPRETATION OF FIBRE TRANSFER,
LIKELIHOOD RATIO,BAYESIAN APPROACH
LIKELIHOOD RATIO LR,BAYESIAN APPROACH
BLOOD STAINS,BLOOD STAIN
BLOODSTAIN,BLOOD STAIN
BLOODSTAIN CHARACTERISTIC,BLOOD STAIN
BLOODSTAIN PATTERN ANALYSIS,BLOOD STAIN
BLOODSTAINS,BLOOD STAIN
CANNABIS SATIVA,CANNABIS
CANNABIS SATIVA L.,CANNABIS
CHILD,CHILD
"CHILD, PRESCHOOL",CHILD
CHILDREN,CHILD
COLOR,COLOUR 
BLACK COTTON,COTTON
BLUE COTTON,COTTON
COTTON APPAREL FABRICS (T-SHIRTS),COTTON
COTTON FIBER,COTTON
COTTON FIBERS,COTTON
COTTON FIBRES,COTTON
COTTONS,COTTON
GREY COTTON,COTTON
RED COTTON,COTTON
CRIMINALITISTICS,CRIMINALISTICS
DATA BASE,DATA BASE
DATABASE,DATA BASE
DATABASE SEARCH,DATA BASE
DATABASES,DATA BASE
"DATABASES, FACTUAL",DATA BASE
DEVICES,DEVICE
(BLACK) DYES,DYE
DYES,DYE
DYES (BASIC),DYE
TEXTILE DYE,DYE
TEXTILE DYES,DYE
"MICROSCOPY, ELECTRON",ELECTRON MICROSCOPY
"MICROSCOPY, ELECTRON, SCANNING",ELECTRON MICROSCOPY
"MICROSCOPY, ELECTRON, TRANSMISSION",ELECTRON MICROSCOPY
FIBER,FIBRE
FIBERS,FIBRE
FIBRES,FIBRE
FORENSIC SCIENCES,FORENSIC SCIENCE
FOURIER TRANSFORM INFRARED,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FOURIER TRANSFORM INFRARED (FT-IR) MICROSPECTROSCOPY,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FOURIER TRANSFORM INFRARED MICROANALYSIS,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FOURIER TRANSFORM INFRARED MICROSPECTROSCOPY,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FOURIER TRANSFORM INFRARED SPECTROSCOPY,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FTIR,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FT-IR,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FTIR SPECTROSCOPY,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FT-IR SPECTROSCOPY,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
FTIR-MICROSPECTROSCOPY,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
INFRARED MICROSPECTROSCOPY FT-IR,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
"SPECTROSCOPY, FOURIER TRANSFORM INFRARED",FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
"CHROMATOGRAPHY, GAS",GAS CHROMATOGRAPHY (GC)
GAS CHROMATOGRAPHY,GAS CHROMATOGRAPHY (GC)
GAS CHROMATOGRAPHY (GC),GAS CHROMATOGRAPHY (GC)
GC,GAS CHROMATOGRAPHY (GC)
GAS CHROMATOGRAPHY/MASS SPECTROMETRY,GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)
GAS CHROMATOGRAPHY/MASS SPECTROMETRY (GC/MS),GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)
GAS CHROMATOGRAPHY-MASS SPECTROMETRY,GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)
GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS),GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)
GC/MS,GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)
GC-MS,GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)
GC–MS,GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)
HAIRS,HAIR
HIGH PERFORMANCE THIN LAYER CHROMATOGRAPHY,HIGH PERFORMANCE THIN-LAYER CHROMATOGRAPHY (HPTLC)
HIGH PERFORMANCE THIN-LAYER CHROMATOGRAPHY (HPTLC),HIGH PERFORMANCE THIN-LAYER CHROMATOGRAPHY (HPTLC)
"CHROMATOGRAPHY, HIGH PRESSURE LIQUID",HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)
HIGH PERFORMANCE LIQUID CHROMATOGRAPHY,HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)
HIGH PERFORMANCE LIQUID CHROMATOGRAPHY DIODE ARRAY DETECTOR,HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)
HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY-DIODE ARRAY DETECTION,HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)
HPLC,HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)
HOLLOW FIBER LIQUID PHASE MICROEXTRACTION,HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)
HOLLOW FIBER-LIQUID PHASE MICROEXTRACTION,HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)
HOLLOW FIBER-LIQUID PHASE MICROEXTRACTION (HF-LPME),HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)
HOLLOW-FIBER LIQUID-PHASE MICROEXTRACTION (HF-LPME),HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)
HUMANS,HUMAN
INFRARED MISCROSPECTROMETRY,INFRARED SPECTROSCOPY (IR)
INFRARED SPECTROMETRY,INFRARED SPECTROSCOPY (IR)
INFRARED SPECTROPHOTOMETRY,INFRARED SPECTROSCOPY (IR)
INFRARED SPECTROSCOPY,INFRARED SPECTROSCOPY (IR)
INJURIES,INJURY
"CHROMATOGRAPHY, LIQUID",LIQUID CHROMATOGRAPHY (LC)
LIQUID CHROMATOGRAPHY,LIQUID CHROMATOGRAPHY (LC)
MASS SPECTROMETRY,MASS SPECTROMETRY (MS)
MICROSPECTROPHOTOMETER,MICROSPECTROPHOTOMETRY (MSP)
MICROSPECTROPHOTOMETRY,MICROSPECTROPHOTOMETRY (MSP)
MICROSPECTROPHOTOMETRY (MSP),MICROSPECTROPHOTOMETRY (MSP)
MSP,MICROSPECTROPHOTOMETRY (MSP)
,NA
NYLON FIBER,NYLON
NYLONS,NYLON
POLYESTER (TERENE),POLYESTER
POLYESTER FIBER,POLYESTER
POLYESTER FIBRES,POLYESTER
POLYESTERS,POLYESTER
POLYMERS,POLYMER
POLARIZED CONFOCAL RAMAN MICROSPECTROSCOPY,RAMAN
"RAMAN MAPPING TECHNOLOGIES, AND MINIMUM FIBRE DIAMETER",RAMAN
RAMAN MICROSCOPE,RAMAN
RAMAN MICROSCOPY,RAMAN
RAMAN MICROSPECTROSCOPY,RAMAN
RAMAN SPECTROMETRY,RAMAN
RAMAN SPECTROSCOPY,RAMAN
"SPECTRUM ANALYSIS, RAMAN",RAMAN
SURFACE ENHANCED RAMAN SPECTROSCOPY,RAMAN
SCANNING ELECTRON MICROSCOPE,SCANNING ELECTRON MICROSCOPY (SEM)
SCANNING ELECTRON MICROSCOPY,SCANNING ELECTRON MICROSCOPY (SEM)
SEM ANALYSIS,SCANNING ELECTRON MICROSCOPY (SEM)
SOLID PHASE MICRO EXTRACTION,SOLID-PHASE MICROEXTRACTION (SPME)
SOLID PHASE MICRO EXTRACTION (SPME),SOLID-PHASE MICROEXTRACTION (SPME)
SOLID PHASE MICROEXTRACTION,SOLID-PHASE MICROEXTRACTION (SPME)
SOLID PHASE MICROEXTRACTION (SPME),SOLID-PHASE MICROEXTRACTION (SPME)
SOLIDE PHASE MICROEXTRACTION,SOLID-PHASE MICROEXTRACTION (SPME)
SOLID-PHASE MICROEXTRACTION,SOLID-PHASE MICROEXTRACTION (SPME)
SOLID-PHASE MICRO-EXTRACTION,SOLID-PHASE MICROEXTRACTION (SPME)
SPME,SOLID-PHASE MICROEXTRACTION (SPME)
SPECTROPHOTOMETER,SPECTROPHOTOMETRY
SURFACE PROPERTIES,SURFACE PROPERTY
SYNTHETIC FIBER,SYNTHETIC FIBRE
SYNTHETIC FIBERS,SYNTHETIC FIBRE
TETRAHYDROCANNABINOL,TETRAHYDROCANNABINOLIC ACID
TETRAHYDROCANNABINOLIC ACID,TETRAHYDROCANNABINOLIC ACID
TEXTILES,TEXTILE
TEXTILE FIBER,TEXTILE FIBRE
TEXTILE FIBERS,TEXTILE FIBRE
TEXTILE FIBRES,TEXTILE FIBRE
"CHROMATOGRAPHY, THIN LAYER",THIN-LAYER CHROMATOGRAPHY (TLC)
THIN LAYER CHROMATOGRAPHY,THIN-LAYER CHROMATOGRAPHY (TLC)
THIN-LAYER CHROMATOGRAPHY,THIN-LAYER CHROMATOGRAPHY (TLC)
TLC,THIN-LAYER CHROMATOGRAPHY (TLC)
BLUE WOOL FIBRES,WOOL
